species,region,quantile,mean,median,lower,upper
myoxocephalus scorpius,ebs,quantile_0.01,4.859625154863039,4.857329364892547,1.618178369390928,8.097571586800408
myoxocephalus scorpius,ebs,quantile_0.99,-7.769984951942728,-7.7680003486620866,-9.504771555704378,-6.049194617805338
myxine glutinosa,neus,quantile_0.01,11.189026022654158,11.19161718282287,7.417138328335756,14.935461461633116
neptunea borealis,ebs,quantile_0.01,-0.10015342995868362,-0.0979274977404854,-1.6931564125350782,1.4934253363299812
neptunea heros,ebs,quantile_0.99,1.8994388248646341,1.8995395512807192,1.4888802517465922,2.3108181512659476
neptunea pribiloffensis,ebs,quantile_0.01,-0.2753525017975934,-0.2757822324111412,-0.5769724846928311,0.02721913686064294
neptunea ventricosa,ebs,quantile_0.99,2.1811987801948454,2.1838673378538664,-0.22447050100859794,4.586132026687711
occella dodecaedron,ebs,quantile_0.99,-17.448376223570495,-17.451992767824713,-22.2197713543311,-12.670218625796748
ophidion marginatum,neus,quantile_0.99,1.0348217105829651,1.0305127652412345,-1.1651154325559052,3.230669454972144
ophiodon elongatus,wc,quantile_0.01,9.774633253821607,9.776855466099919,7.974971846568332,11.571713334353621
ophiura sarsii,ebs,quantile_0.01,0.24262311112983517,0.24278595242242712,-0.04075536867759429,0.5259484083727779
oregonia gracilis,ebs,quantile_0.99,-16.964214547267815,-16.962470432864684,-22.749286806660198,-11.186870473573562
pagurus aleuticus,ebs,quantile_0.01,2.241572735846052,2.238519223722866,0.35961894573011155,4.1213083060368065
pagurus aleuticus,ebs,quantile_0.99,7.9622515169392525,7.958042629906236,4.842364914877853,11.088900546425423
pagurus capillatus,ebs,quantile_0.99,6.375529351835603,6.3758612274845055,2.334100905613284,10.402432728500848
pagurus confragosus,ebs,quantile_0.01,2.345219908368822,2.345829629444553,1.4727779715137517,3.21577484654439
pagurus ochotensis,ebs,quantile_0.99,-12.700803083001304,-12.6989874885943,-16.25755295272954,-9.158131929788158
pagurus rathbuni,ebs,quantile_0.01,19.492809138758062,19.477254783248647,10.783625906444358,28.214818664079235
pandalus eous,ebs,quantile_0.01,1.3876140791037561,1.3883007239330607,-1.019234155214566,3.792761488442146
pandalus jordani,wc,quantile_0.01,13.685210377856475,13.681597450059408,7.684551144402407,19.707953703946163
paralichthys dentatus,neus,quantile_0.99,-2.2095545049782355,-2.209049247104819,-3.557935784013256,-0.8603361106058595
paralithodes camtschaticus,ebs,quantile_0.99,-0.1609365849439199,-0.16103306574258242,-0.386843966707733,0.06663392455926154
paralithodes platypus,ebs,quantile_0.01,0.85837250112502,0.8584010720673594,0.6350651387377869,1.0827378390305673
paralithodes platypus,ebs,quantile_0.99,1.3301838930520753,1.3305666008574653,0.7285857822218655,1.9299721756343169
peprilus triacanthus,neus,quantile_0.99,3.216012577612838,3.2160017824535654,1.6126234234505759,4.813056968190054
peristedion miniatum,neus,quantile_0.99,-0.866187792907278,-0.8635626775612539,-2.4971293442822757,0.7552301394977984
placopecten magellanicus,neus,quantile_0.01,4.38584210776479,4.386491477241646,2.678874699532642,6.077486400376484
platichthys stellatus,ebs,quantile_0.01,3.4608026056409136,3.461373430385633,1.6225782412374148,5.295349755517064
pleuronectes quadrituberculatus,ebs,quantile_0.99,-0.24764419880338503,-0.24634801113532195,-1.385301672796035,0.8867869432205311
plicifusus kroyeri,ebs,quantile_0.01,5.434068586009182,5.4332979094872424,4.5477466412610985,6.325066210069519
